<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,14/09/18,10:01,107290.0000000,107770.0000000,107290.0000000,107720.0000000,137
SPFB.RTS-12.18,1,14/09/18,10:02,107760.0000000,107800.0000000,107690.0000000,107800.0000000,141
SPFB.RTS-12.18,1,14/09/18,10:03,107780.0000000,107780.0000000,107610.0000000,107610.0000000,47
SPFB.RTS-12.18,1,14/09/18,10:04,107600.0000000,107670.0000000,107570.0000000,107650.0000000,103
SPFB.RTS-12.18,1,14/09/18,10:05,107650.0000000,107650.0000000,107490.0000000,107570.0000000,31
SPFB.RTS-12.18,1,14/09/18,10:06,107600.0000000,107600.0000000,107550.0000000,107570.0000000,13
SPFB.RTS-12.18,1,14/09/18,10:07,107600.0000000,107660.0000000,107600.0000000,107600.0000000,26
SPFB.RTS-12.18,1,14/09/18,10:08,107620.0000000,107670.0000000,107620.0000000,107670.0000000,40
SPFB.RTS-12.18,1,14/09/18,10:09,107640.0000000,107690.0000000,107640.0000000,107690.0000000,6
SPFB.RTS-12.18,1,14/09/18,10:10,107650.0000000,107650.0000000,107650.0000000,107650.0000000,2
SPFB.RTS-12.18,1,14/09/18,10:11,107660.0000000,107660.0000000,107610.0000000,107640.0000000,6
SPFB.RTS-12.18,1,14/09/18,10:12,107650.0000000,107650.0000000,107650.0000000,107650.0000000,5
SPFB.RTS-12.18,1,14/09/18,10:13,107660.0000000,107710.0000000,107660.0000000,107710.0000000,7
SPFB.RTS-12.18,1,14/09/18,10:14,107750.0000000,107850.0000000,107740.0000000,107850.0000000,61
SPFB.RTS-12.18,1,14/09/18,10:15,107880.0000000,107900.0000000,107850.0000000,107880.0000000,38
SPFB.RTS-12.18,1,14/09/18,10:16,107900.0000000,107910.0000000,107790.0000000,107860.0000000,81
SPFB.RTS-12.18,1,14/09/18,10:17,107880.0000000,107910.0000000,107870.0000000,107910.0000000,92
SPFB.RTS-12.18,1,14/09/18,10:18,107920.0000000,107990.0000000,107920.0000000,107950.0000000,136
SPFB.RTS-12.18,1,14/09/18,10:19,107930.0000000,107930.0000000,107780.0000000,107850.0000000,67
SPFB.RTS-12.18,1,14/09/18,10:20,107870.0000000,107890.0000000,107810.0000000,107820.0000000,30
SPFB.RTS-12.18,1,14/09/18,10:21,107890.0000000,107890.0000000,107840.0000000,107840.0000000,2
SPFB.RTS-12.18,1,14/09/18,10:22,107820.0000000,107820.0000000,107800.0000000,107800.0000000,15
SPFB.RTS-12.18,1,14/09/18,10:23,107780.0000000,107820.0000000,107780.0000000,107820.0000000,112
SPFB.RTS-12.18,1,14/09/18,10:24,107810.0000000,107810.0000000,107740.0000000,107740.0000000,28
SPFB.RTS-12.18,1,14/09/18,10:25,107720.0000000,107720.0000000,107560.0000000,107560.0000000,69
SPFB.RTS-12.18,1,14/09/18,10:26,107620.0000000,107690.0000000,107580.0000000,107680.0000000,27
SPFB.RTS-12.18,1,14/09/18,10:27,107690.0000000,107750.0000000,107690.0000000,107750.0000000,13
SPFB.RTS-12.18,1,14/09/18,10:28,107810.0000000,107880.0000000,107810.0000000,107880.0000000,5
SPFB.RTS-12.18,1,14/09/18,10:29,107870.0000000,107940.0000000,107820.0000000,107940.0000000,87
SPFB.RTS-12.18,1,14/09/18,10:30,107900.0000000,107900.0000000,107840.0000000,107850.0000000,8
SPFB.RTS-12.18,1,14/09/18,10:31,107840.0000000,107840.0000000,107780.0000000,107780.0000000,36
SPFB.RTS-12.18,1,14/09/18,10:32,107800.0000000,107830.0000000,107790.0000000,107830.0000000,23
SPFB.RTS-12.18,1,14/09/18,10:33,107820.0000000,107900.0000000,107820.0000000,107900.0000000,20
SPFB.RTS-12.18,1,14/09/18,10:34,107870.0000000,107870.0000000,107870.0000000,107870.0000000,3
SPFB.RTS-12.18,1,14/09/18,10:35,107880.0000000,107940.0000000,107880.0000000,107940.0000000,13
SPFB.RTS-12.18,1,14/09/18,10:36,107930.0000000,108020.0000000,107920.0000000,108020.0000000,53
SPFB.RTS-12.18,1,14/09/18,10:37,108000.0000000,108000.0000000,107910.0000000,107920.0000000,91
SPFB.RTS-12.18,1,14/09/18,10:38,107890.0000000,107960.0000000,107880.0000000,107960.0000000,23
SPFB.RTS-12.18,1,14/09/18,10:39,108000.0000000,108090.0000000,108000.0000000,108020.0000000,44
SPFB.RTS-12.18,1,14/09/18,10:40,108060.0000000,108260.0000000,108060.0000000,108160.0000000,110
SPFB.RTS-12.18,1,14/09/18,10:41,108190.0000000,108230.0000000,108170.0000000,108190.0000000,9
SPFB.RTS-12.18,1,14/09/18,10:42,108160.0000000,108190.0000000,108130.0000000,108190.0000000,174
SPFB.RTS-12.18,1,14/09/18,10:43,108150.0000000,108150.0000000,108080.0000000,108100.0000000,42
SPFB.RTS-12.18,1,14/09/18,10:44,108070.0000000,108100.0000000,108040.0000000,108100.0000000,71
SPFB.RTS-12.18,1,14/09/18,10:45,108100.0000000,108100.0000000,108030.0000000,108030.0000000,31
SPFB.RTS-12.18,1,14/09/18,10:46,108020.0000000,108040.0000000,107860.0000000,108000.0000000,158
SPFB.RTS-12.18,1,14/09/18,10:47,107980.0000000,108010.0000000,107980.0000000,108010.0000000,2
SPFB.RTS-12.18,1,14/09/18,10:48,108010.0000000,108010.0000000,108010.0000000,108010.0000000,2
SPFB.RTS-12.18,1,14/09/18,10:49,107990.0000000,107990.0000000,107900.0000000,107940.0000000,40
SPFB.RTS-12.18,1,14/09/18,10:50,107930.0000000,107940.0000000,107930.0000000,107930.0000000,3
SPFB.RTS-12.18,1,14/09/18,10:51,107970.0000000,107970.0000000,107960.0000000,107960.0000000,5
SPFB.RTS-12.18,1,14/09/18,10:52,107950.0000000,107950.0000000,107810.0000000,107810.0000000,43
SPFB.RTS-12.18,1,14/09/18,10:53,107820.0000000,107840.0000000,107820.0000000,107830.0000000,21
SPFB.RTS-12.18,1,14/09/18,10:54,107830.0000000,107840.0000000,107830.0000000,107830.0000000,6
SPFB.RTS-12.18,1,14/09/18,10:55,107790.0000000,107790.0000000,107740.0000000,107780.0000000,27
SPFB.RTS-12.18,1,14/09/18,10:56,107770.0000000,107800.0000000,107740.0000000,107800.0000000,21
SPFB.RTS-12.18,1,14/09/18,10:57,107840.0000000,107900.0000000,107840.0000000,107900.0000000,28
SPFB.RTS-12.18,1,14/09/18,10:58,107950.0000000,107950.0000000,107930.0000000,107930.0000000,4
SPFB.RTS-12.18,1,14/09/18,10:59,107910.0000000,107910.0000000,107860.0000000,107870.0000000,7
SPFB.RTS-12.18,1,14/09/18,11:00,107860.0000000,107860.0000000,107860.0000000,107860.0000000,1
SPFB.RTS-12.18,1,14/09/18,11:01,107820.0000000,107840.0000000,107750.0000000,107780.0000000,98
SPFB.RTS-12.18,1,14/09/18,11:02,107770.0000000,107770.0000000,107690.0000000,107690.0000000,185
SPFB.RTS-12.18,1,14/09/18,11:03,107710.0000000,107720.0000000,107680.0000000,107710.0000000,30
SPFB.RTS-12.18,1,14/09/18,11:04,107720.0000000,107720.0000000,107660.0000000,107670.0000000,88
SPFB.RTS-12.18,1,14/09/18,11:05,107670.0000000,107710.0000000,107670.0000000,107710.0000000,13
SPFB.RTS-12.18,1,14/09/18,11:06,107670.0000000,107670.0000000,107670.0000000,107670.0000000,1
SPFB.RTS-12.18,1,14/09/18,11:07,107670.0000000,107670.0000000,107660.0000000,107660.0000000,14
SPFB.RTS-12.18,1,14/09/18,11:08,107630.0000000,107670.0000000,107630.0000000,107660.0000000,8
SPFB.RTS-12.18,1,14/09/18,11:09,107660.0000000,107680.0000000,107660.0000000,107680.0000000,4
SPFB.RTS-12.18,1,14/09/18,11:10,107710.0000000,107710.0000000,107680.0000000,107680.0000000,3
SPFB.RTS-12.18,1,14/09/18,11:11,107640.0000000,107640.0000000,107570.0000000,107570.0000000,39
SPFB.RTS-12.18,1,14/09/18,11:12,107570.0000000,107600.0000000,107530.0000000,107530.0000000,23
SPFB.RTS-12.18,1,14/09/18,11:13,107530.0000000,107530.0000000,107460.0000000,107470.0000000,20
SPFB.RTS-12.18,1,14/09/18,11:14,107450.0000000,107450.0000000,107420.0000000,107430.0000000,30
SPFB.RTS-12.18,1,14/09/18,11:15,107460.0000000,107470.0000000,107410.0000000,107470.0000000,67
SPFB.RTS-12.18,1,14/09/18,11:16,107430.0000000,107470.0000000,107430.0000000,107440.0000000,163
SPFB.RTS-12.18,1,14/09/18,11:17,107440.0000000,107500.0000000,107440.0000000,107500.0000000,16
SPFB.RTS-12.18,1,14/09/18,11:18,107490.0000000,107490.0000000,107330.0000000,107370.0000000,69
SPFB.RTS-12.18,1,14/09/18,11:19,107380.0000000,107450.0000000,107370.0000000,107450.0000000,21
SPFB.RTS-12.18,1,14/09/18,11:20,107430.0000000,107430.0000000,107400.0000000,107430.0000000,5
SPFB.RTS-12.18,1,14/09/18,11:21,107400.0000000,107580.0000000,107400.0000000,107580.0000000,34
SPFB.RTS-12.18,1,14/09/18,11:22,107580.0000000,107600.0000000,107520.0000000,107540.0000000,40
SPFB.RTS-12.18,1,14/09/18,11:23,107540.0000000,107560.0000000,107520.0000000,107550.0000000,13
SPFB.RTS-12.18,1,14/09/18,11:24,107560.0000000,107630.0000000,107560.0000000,107630.0000000,8
SPFB.RTS-12.18,1,14/09/18,11:25,107630.0000000,107630.0000000,107560.0000000,107580.0000000,40
SPFB.RTS-12.18,1,14/09/18,11:26,107580.0000000,107580.0000000,107580.0000000,107580.0000000,1
SPFB.RTS-12.18,1,14/09/18,11:27,107560.0000000,107560.0000000,107560.0000000,107560.0000000,5
SPFB.RTS-12.18,1,14/09/18,11:29,107500.0000000,107510.0000000,107470.0000000,107510.0000000,10
SPFB.RTS-12.18,1,14/09/18,11:31,107490.0000000,107490.0000000,107420.0000000,107430.0000000,15
SPFB.RTS-12.18,1,14/09/18,11:32,107420.0000000,107450.0000000,107370.0000000,107430.0000000,22
SPFB.RTS-12.18,1,14/09/18,11:33,107430.0000000,107450.0000000,107400.0000000,107440.0000000,38
SPFB.RTS-12.18,1,14/09/18,11:34,107430.0000000,107430.0000000,107350.0000000,107410.0000000,11
SPFB.RTS-12.18,1,14/09/18,11:35,107390.0000000,107390.0000000,107360.0000000,107370.0000000,9
SPFB.RTS-12.18,1,14/09/18,11:36,107330.0000000,107400.0000000,107310.0000000,107400.0000000,7
SPFB.RTS-12.18,1,14/09/18,11:37,107410.0000000,107410.0000000,107410.0000000,107410.0000000,1
SPFB.RTS-12.18,1,14/09/18,11:38,107430.0000000,107430.0000000,107410.0000000,107410.0000000,2
SPFB.RTS-12.18,1,14/09/18,11:39,107340.0000000,107400.0000000,107300.0000000,107400.0000000,24
SPFB.RTS-12.18,1,14/09/18,11:40,107400.0000000,107480.0000000,107400.0000000,107480.0000000,26
SPFB.RTS-12.18,1,14/09/18,11:41,107460.0000000,107460.0000000,107430.0000000,107430.0000000,6
SPFB.RTS-12.18,1,14/09/18,11:42,107450.0000000,107450.0000000,107400.0000000,107400.0000000,3
SPFB.RTS-12.18,1,14/09/18,11:43,107400.0000000,107400.0000000,107400.0000000,107400.0000000,7
SPFB.RTS-12.18,1,14/09/18,11:44,107400.0000000,107400.0000000,107350.0000000,107350.0000000,16
SPFB.RTS-12.18,1,14/09/18,11:46,107360.0000000,107390.0000000,107320.0000000,107390.0000000,13
SPFB.RTS-12.18,1,14/09/18,11:47,107340.0000000,107340.0000000,107340.0000000,107340.0000000,2
SPFB.RTS-12.18,1,14/09/18,11:48,107400.0000000,107410.0000000,107390.0000000,107410.0000000,18
SPFB.RTS-12.18,1,14/09/18,11:49,107380.0000000,107400.0000000,107300.0000000,107300.0000000,12
SPFB.RTS-12.18,1,14/09/18,11:50,107310.0000000,107310.0000000,107190.0000000,107200.0000000,97
SPFB.RTS-12.18,1,14/09/18,11:51,107190.0000000,107260.0000000,107190.0000000,107260.0000000,9
SPFB.RTS-12.18,1,14/09/18,11:52,107280.0000000,107280.0000000,107190.0000000,107200.0000000,38
SPFB.RTS-12.18,1,14/09/18,11:53,107210.0000000,107210.0000000,107100.0000000,107190.0000000,83
SPFB.RTS-12.18,1,14/09/18,11:56,107180.0000000,107180.0000000,107100.0000000,107130.0000000,15
SPFB.RTS-12.18,1,14/09/18,11:57,107160.0000000,107160.0000000,107130.0000000,107130.0000000,30
SPFB.RTS-12.18,1,14/09/18,11:58,107090.0000000,107090.0000000,107000.0000000,107000.0000000,81
SPFB.RTS-12.18,1,14/09/18,11:59,106990.0000000,107050.0000000,106960.0000000,107050.0000000,27
SPFB.RTS-12.18,1,14/09/18,12:00,107080.0000000,107110.0000000,107080.0000000,107100.0000000,25
SPFB.RTS-12.18,1,14/09/18,12:01,107070.0000000,107070.0000000,106990.0000000,107010.0000000,53
SPFB.RTS-12.18,1,14/09/18,12:02,107000.0000000,107020.0000000,106990.0000000,107000.0000000,35
SPFB.RTS-12.18,1,14/09/18,12:03,106980.0000000,106980.0000000,106910.0000000,106940.0000000,73
SPFB.RTS-12.18,1,14/09/18,12:04,106980.0000000,107030.0000000,106980.0000000,107010.0000000,7
SPFB.RTS-12.18,1,14/09/18,12:06,106990.0000000,106990.0000000,106930.0000000,106930.0000000,13
SPFB.RTS-12.18,1,14/09/18,12:07,106940.0000000,106940.0000000,106930.0000000,106940.0000000,28
SPFB.RTS-12.18,1,14/09/18,12:08,106960.0000000,107000.0000000,106960.0000000,107000.0000000,22
SPFB.RTS-12.18,1,14/09/18,12:09,107030.0000000,107050.0000000,107000.0000000,107000.0000000,21
SPFB.RTS-12.18,1,14/09/18,12:10,106970.0000000,107000.0000000,106970.0000000,107000.0000000,7
SPFB.RTS-12.18,1,14/09/18,12:11,106950.0000000,106990.0000000,106940.0000000,106960.0000000,24
SPFB.RTS-12.18,1,14/09/18,12:12,107020.0000000,107030.0000000,106960.0000000,106980.0000000,19
SPFB.RTS-12.18,1,14/09/18,12:13,107030.0000000,107030.0000000,107030.0000000,107030.0000000,2
SPFB.RTS-12.18,1,14/09/18,12:14,107060.0000000,107140.0000000,107050.0000000,107140.0000000,53
SPFB.RTS-12.18,1,14/09/18,12:15,107120.0000000,107170.0000000,107100.0000000,107160.0000000,23
SPFB.RTS-12.18,1,14/09/18,12:16,107090.0000000,107140.0000000,107080.0000000,107140.0000000,4
SPFB.RTS-12.18,1,14/09/18,12:17,107090.0000000,107090.0000000,107090.0000000,107090.0000000,1
SPFB.RTS-12.18,1,14/09/18,12:18,107120.0000000,107120.0000000,107060.0000000,107060.0000000,10
SPFB.RTS-12.18,1,14/09/18,12:19,107080.0000000,107080.0000000,107060.0000000,107060.0000000,4
SPFB.RTS-12.18,1,14/09/18,12:20,107140.0000000,107190.0000000,107140.0000000,107190.0000000,18
SPFB.RTS-12.18,1,14/09/18,12:21,107200.0000000,107210.0000000,107130.0000000,107130.0000000,21
SPFB.RTS-12.18,1,14/09/18,12:22,107150.0000000,107150.0000000,107150.0000000,107150.0000000,1
